Type,Faiblesses,Resistances
Feu,Eau|Roche|Sol,Plante|Glace|Insecte|Acier|Fée
Eau,Plante|Électrik,Feu|Eau|Glace|Acier
Plante,Feu|Glace|Poison|Vol|Insecte,Eau|Sol|Roche
Électrik,Sol,Électrik|Vol|Acier
Glace,Feu|Combat|Roche|Acier,Glace
Combat,Vol|Psy|Fée,Roche|Insecte|Ténèbres
Poison,Sol|Psy,Plante|Combat|Poison|Fée|Insecte
Sol,Eau|Plante|Glace,Poison|Roche
Vol,Électrik|Glace|Roche,Plante|Combat|Insecte
Psy,Insecte|Spectre|Ténèbres,Combat|Psy
Insecte,Feu|Vol|Roche,Plante|Combat|Sol
Roche,Eau|Plante|Combat|Sol|Acier,Feu|Vol|Poison|Normal
Spectre,Spectre|Ténèbres,Poison|Insecte
Dragon,Glace|Dragon|Fée,Feu|Eau|Électrik|Plante
Ténèbres,Combat|Insecte|Fée,Spectre|Psy|Ténèbres
Acier,Feu|Combat|Sol,Normal|Plante|Glace|Vol|Psy|Insecte|Roche|Dragon|Acier|Fée
Fée,Poison|Acier,Combat|Insecte|Ténèbres|Dragon
